slug,image_path,is_primary
velo-arctic-grapefruit-normal,velo/velo-arctic-grapefruit-normal_1_CIw7o6355RhDb7HyaO47z3JCTekOwYx5SoHyw3h9.webp,True
velo-arctic-grapefruit-normal,velo/velo-arctic-grapefruit-normal_2_CIw7o6355RhDb7HyaO47z3JCTekOwYx5SoHyw3h9.webp,False
velo-arctic-grapefruit-normal,velo/velo-arctic-grapefruit-normal_3_1Pbjhu08SRYJMLqOKJKepw5mRe0U6SnHwL53c15z.webp,False
velo-arctic-grapefruit-normal,velo/velo-arctic-grapefruit-normal_4_dKR698WVT4DUFobRbDoeD5T4lEJd2Ib7LRgbnNHR.webp,False
velo-arctic-grapefruit-normal,velo/velo-arctic-grapefruit-normal_5_ZG9fjaV5yuLsC6zRWWedKS4XqdfR6CLkdKHDrZWk.webp,False
xo-double-apple,xo/xo-double-apple_1_kIZ6XcU70DTMRzqmP4ktPxIcVso8liumpsefdzEX.webp,True
xo-icy-cola,xo/xo-icy-cola_1_5xLKMeL17pcL9gfRCEl4nzKXLLl6nFmxZqe3OIl6.webp,True
xo-icy-citrus,xo/xo-icy-citrus_1_ZijzOjuVvzhT9xDZfUW1RNh83gRd0C1oj7nl6Ejq.webp,True
xqs-hallon-lakrits-slim-strong,xqs/xqs-hallon-lakrits-slim-strong_1_XJnHLTNz3rKAc0djLF3MrD9aautK3KBkeqYbOzos.webp,True
xqs-hallon-lakrits-slim-strong,xqs/xqs-hallon-lakrits-slim-strong_2_XJnHLTNz3rKAc0djLF3MrD9aautK3KBkeqYbOzos.webp,False
xqs-hallon-lakrits-slim-strong,xqs/xqs-hallon-lakrits-slim-strong_3_t4Qcc4fAn48BzUXVSY8okWcU6ag1L1DcfSbd9fe2.webp,False
xqs-hallon-lakrits-slim-strong,xqs/xqs-hallon-lakrits-slim-strong_4_ktGY8ELAy85OF5Jwtr8gAX3luokBg8J1ijeF2Ib1.webp,False
xqs-raspberry-blackcurrant-slim-strong,xqs/xqs-raspberry-blackcurrant-slim-strong_1_1gcJqNL51Tb6cloIF8vDcau3PlRaxFEgdBZ9jC9F.webp,True
xqs-raspberry-blackcurrant-slim-strong,xqs/xqs-raspberry-blackcurrant-slim-strong_2_1gcJqNL51Tb6cloIF8vDcau3PlRaxFEgdBZ9jC9F.webp,False
xqs-raspberry-blackcurrant-slim-strong,xqs/xqs-raspberry-blackcurrant-slim-strong_3_oFxoKqh3UUb5F9Cx4GHDhAwFdwuRTeP6GtfZGw2s.webp,False
xqs-raspberry-blackcurrant-slim-strong,xqs/xqs-raspberry-blackcurrant-slim-strong_4_7RPcUKeBdyKZJSXXoJvQ9QwLKHV3Ko9SAqHkYClk.webp,False
apres-banana-hyper-strong,apres/apres-banana-hyper-strong_1_NvUZUOQyCdkUjmiMaJEA41AbTfMZYAKFnIweGdKi.webp,True
apres-banana-hyper-strong,apres/apres-banana-hyper-strong_2_NvUZUOQyCdkUjmiMaJEA41AbTfMZYAKFnIweGdKi.webp,False
apres-banana-hyper-strong,apres/apres-banana-hyper-strong_3_sNVH3cqGU0N0jvNTUYSBYmUga8TEdbgi88vp5lHq.webp,False
apres-blueberry,apres/apres-blueberry_1_JAf76GjfkK6lE3YZxx8jOLhc0XjUy6dxkA5yCQ5Q.webp,True
