title,slug,brand,available,flavour,format,nicotine_mg_g,nicotine_per_pouch,net_weight,type
VELO Arctic Grapefruit Normal,velo-arctic-grapefruit-normal,Velo,True,Fruit,Slim,8.5,6,14,Nicotine pouch
XO Double Apple,xo-double-apple,XO,True,Fruit,Slim,16,8,10,Nicotine Pouch
XO Icy Cola,xo-icy-cola,XO,True,-,-,-,-,-,-
XO Icy Citrus,xo-icy-citrus,XO,True,-,-,-,-,-,-
XQS Hallon Lakrits Slim Strong,xqs-hallon-lakrits-slim-strong,XQS,True,Licorice,Slim,16,8,10,Nicotine pouch
XQS Raspberry Blackcurrant Slim Strong,xqs-raspberry-blackcurrant-slim-strong,XQS,True,Berry,Slim,16,8,10,Nicotine pouch
Après Banana Hyper Strong,apres-banana-hyper-strong,Après,True,Fruit,Slim,20,11,11,Nicotine pouch
Après Blueberry,apres-blueberry,Après,True,Berry,Slim,8,"4,4",11,Nicotine pouch
Après Blueberry Hyper Strong,apres-blueberry-hyper-strong,Après,True,Berry,Slim,20,11,11,Nicotine pouch
ZYN Cool Mint Slim S2,zyn-cool-mint-slim-s2,zyn,True,Mint,Slim,8.8,6,14.3,Nicotine Pouch
ZYN Menthol Ice Slim S5,zyn-menthol-ice-slim-s5,zyn,True,Mint,Slim,19.2,13.5,14.7,Nicotine Pouch
ZYN Menthol Ice Slim S6,zyn-menthol-ice-slim-s6,zyn,True,Mint,Slim,23.5,16.5,14.7,Nicotine Pouch
ZYN Blackcurrant Ice Slim S5,zyn-blackcurrant-ice-slim-s5,zyn,True,Berry,Slim,19.2,13.5,14.7,Nicotine Pouch
ZYN Blackcurrant Ice Slim S4,zyn-blackcurrant-ice-slim-s4,zyn,True,Berry,Slim,15.7,11,14.7,Nicotine Pouch
ZYN Menthol Ice Slim S4,zyn-menthol-ice-slim-s4,zyn,True,Mint,Slim,15.7,11,14.7,Nicotine Pouch
Loop Red Chili Melon Medium,loop-red-chili-melon-medium,Loop,True,-,-,-,-,-,-
Kelly White Mini Strawberry Lime,kelly-white-mini-strawberry-lime,Kelly White,True,Berry,Mini,12.5,5,8,Nicotine pouch
VID Black Orange,vid-black-orange,VID,True,Fruit,Slim,12,7.2,12,Nicotine pouch
VID Coffee Caramel Strong,vid-coffee-caramel-strong,VID,True,Coffee,Slim,16,9.6,12,Nicotine pouch
VID Cola Sour Strong,vid-cola-sour-strong,VID,True,Cola,Slim,16,9.6,12,Nicotine pouch
VID Crispy Mint Strong,vid-crispy-mint-strong,VID,True,Mint,Slim,16,9.6,12,Nicotine pouch
VID Watermelon,vid-watermelon,VID,True,Fruit,Slim,12,7.2,12,Nicotine pouch
VID Blueberry Strong,vid-blueberry-strong,VID,True,Berry,Slim,16,9.6,13,Nicotine pouch
Avant Cool Mint Extra Strong,avant-cool-mint-extra-strong,AVANT,True,Berry,Slim,20,13,13,Nicotine Pouch
Avant Frozen Berries Strong,avant-frozen-berries-strong,AVANT,True,Berry,Slim,16,10.4,13,Nicotine Pouch
Avant Cool Iced Apple Strong,avant-cool-iced-apple-strong,AVANT,True,Fruit,Slim,16,10.4,13,Nicotine Pouch
Avant Cool Ice Tea Strong,avant-cool-ice-tea-strong,AVANT,True,Fruit,Slim,16,10.4,13,Nicotine Pouch
Avant Caffe Mocha Normal,avant-caffe-mocha-normal,AVANT,True,Caffee,Slim,12,7.8,13,Nicotine Pouch
STNG Mellow Mint (EN),stng-mellow-mint-en,STNG,True,Mint,Slim,16.7,9.2,11,Nicotine Pouch
STNG Raspberry MAX (EN),stng-raspberry-max-en,STNG,True,Berry,Slim,50,27.5,11,Nicotine Pouch
STNG Double Mint MAX (EN),stng-double-mint-max-en,STNG,True,Mint,Slim,50,27.5,11,Nicotine Pouch
STNG Cola Cherry MAX (EN),stng-cola-cherry-max-en,STNG,True,Cola,Slim,50,27.5,11,Nicotine Pouch
STNG Bubble MAX (EN),stng-bubble-max-en,STNG,True,Candy,Slim,50,27.5,11,Nicotine Pouch
STNG Berry Seltzer MAX (EN),stng-berry-seltzer-max-en,STNG,True,Berry,Slim,50,27.5,11,Nicotine Pouch
STNG Berry Seltzer (EN),stng-berry-seltzer-en,STNG,True,Berry,Slim,16.7,9.2,11,Nicotine Pouch
Zeus Bubblegum Strong,zeus-bubblegum-strong,Zeus,True,Candy,Slim,20,10,10,Nicotine Pouch
Zeus Epic Berry Strong,zeus-epic-berry-strong,Zeus,True,Berry,Slim,20,10,10,Nicotine Pouch
Zeus Cherry Blossom Strong,zeus-cherry-blossom-strong,Zeus,True,Candy,Slim,20,10,10,Nicotine Pouch
